versao,n,threads,tempo_med,tempo_mediana,tempo_dp,tempo_min,cpu_med,mflops,util,amostras,cv_pct,speedup,eficiencia
ijk,128,1,0.0021554,0.002167,3.6063903396680674e-05,0.00205,0.001953125,1935.54,0.0,40,1.6731884289078904,1.0083064143977851,1.0083064143977851
ijk,128,12,0.000370275,0.00036050000000000003,4.384236769528085e-05,0.000298,0.0015625,11628.24,0.0,40,11.840488203438216,6.061026352288488,0.505085529357374
ijk,256,1,0.024234600000000002,0.0242295,0.00026633079489178787,0.023913,0.02421875,1384.8600000000001,1.2698,40,1.0989692212447817,1.010751356817103,1.010751356817103
ijk,256,12,0.0035161999999999997,0.0035255,0.0006429961996936784,0.002579,0.028515625,9518.555,0.0,40,18.286678792266606,6.946532406750815,0.5788777005625679
ijk,512,1,0.6658501,0.6636975,0.008310883045073414,0.655532,0.6625,404.455,0.99655,10,1.248161267089006,0.9926314322413446,0.9926314322413446
ijk,512,12,0.0602453,0.0603085,0.005864758004858814,0.051875,0.5109375,4451.200000000001,0.6937500000000001,10,9.734797577336016,10.923949360372085,0.9103291133643404
ijk,1024,1,5.5404086999999995,5.483809,0.15629998517740054,5.363513,5.528125,391.655,0.9995499999999999,10,2.821091252300585,0.9723739466491266,0.9723739466491266
ijk,1024,12,0.6912695,0.689616,0.2609873149668603,0.423174,6.884375,3473.745,0.81955,10,37.75478521283816,7.732293044244913,0.644357753687076
ikj,128,1,0.000328725,0.000325,7.459248260742141e-06,0.000324,0.000390625,12889.69,0.0,40,2.269145413565181,0.8861538461538462,0.8861538461538462
ikj,128,12,0.00016915000000000002,0.00016,1.8956833555779796e-05,0.000155,0.000390625,26189.85,0.0,40,11.207114132887847,1.7999999999999998,0.15
ikj,256,1,0.0029932500000000003,0.0029885,0.00017467592703970287,0.00279,0.002734375,11229.59,0.0,40,5.835661138885922,0.8914170988790363,0.8914170988790363
ikj,256,12,0.000654975,0.0005865,0.0001306701636436821,0.000542,0.008203125,57231.399999999994,0.0,40,19.950404770209868,4.542199488491048,0.3785166240409206
ikj,512,1,0.0223035,0.0221535,0.000375694985622941,0.021974,0.0234375,12117.425,1.04435,10,1.684466499082839,0.8996998216986029,0.8996998216986029
ikj,512,12,0.0045334,0.004058,0.0008441402200529905,0.003818,0.0703125,66150.445,0.0,10,18.620466317840705,4.911655988171512,0.40930466568095936
ikj,1024,1,0.2314477,0.22665049999999998,0.024095324138605084,0.205735,0.2265625,9486.255000000001,0.99065,10,10.4106993236939,0.9020562496001554,0.9020562496001554
ikj,1024,12,0.0496933,0.049832,0.006921451807404441,0.039525,0.4171875,43095.525,0.7479,10,13.928340052692096,4.1028154599454165,0.3419012883287847
