versao,n,threads,sched,chunk,rep,tempo_s,cpu_s,mflops,util
ijk,1024,12,static,0,0,0.466045,4.437500,4607.89,0.7935
ijk,1024,12,static,0,1,0.450226,4.500000,4769.79,0.8329
ijk,1024,12,static,0,2,0.458568,4.671875,4683.03,0.8490
ijk,1024,12,static,0,3,0.451523,4.578125,4756.08,0.8449
ijk,1024,12,static,0,4,0.467014,4.468750,4598.33,0.7974
ikj,1024,12,static,0,0,0.043444,0.484375,49431.30,0.9291
ikj,1024,12,static,0,1,0.040485,0.531250,53043.28,1.0935
ikj,1024,12,static,0,2,0.040295,0.375000,53293.78,0.7755
ikj,1024,12,static,0,3,0.044799,0.500000,47936.40,0.9301
ikj,1024,12,static,0,4,0.039146,0.515625,54858.88,1.0977
ijk,1024,3,static,0,0,2.374253,7.031250,904.49,0.9872
ijk,1024,3,static,0,1,2.370473,6.968750,905.93,0.9799
ijk,1024,3,static,0,2,2.298773,6.843750,934.19,0.9924
ijk,1024,3,static,0,3,2.371246,7.062500,905.64,0.9928
ijk,1024,3,static,0,4,2.350369,6.859375,913.68,0.9728
ikj,1024,3,static,0,0,0.150776,0.421875,14242.87,0.9327
ikj,1024,3,static,0,1,0.125285,0.359375,17140.75,0.9562
ikj,1024,3,static,0,2,0.136338,0.375000,15751.22,0.9168
ikj,1024,3,static,0,3,0.147917,0.390625,14518.17,0.8803
ikj,1024,3,static,0,4,0.140394,0.390625,15296.07,0.9274
ijk,1024,2,static,0,0,2.670316,5.312500,804.21,0.9947
ijk,1024,2,static,0,1,2.840976,5.625000,755.90,0.9900
ijk,1024,2,static,0,2,2.648243,5.265625,810.91,0.9942
ijk,1024,2,static,0,3,2.636024,5.234375,814.67,0.9929
ijk,1024,2,static,0,4,2.767478,5.468750,775.97,0.9880
ikj,1024,2,static,0,0,0.165878,0.328125,12946.19,0.9891
ikj,1024,2,static,0,1,0.174918,0.343750,12277.09,0.9826
ikj,1024,2,static,0,2,0.215145,0.437500,9981.55,1.0168
ikj,1024,2,static,0,3,0.204450,0.406250,10503.69,0.9935
ikj,1024,2,static,0,4,0.198890,0.375000,10797.33,0.9427
ijk,1024,16,static,0,0,0.432823,4.156250,4961.57,0.6002
ijk,1024,16,static,0,1,0.436515,4.515625,4919.61,0.6465
ijk,1024,16,static,0,2,0.449769,4.406250,4774.64,0.6123
ijk,1024,16,static,0,3,0.448530,4.375000,4787.83,0.6096
ijk,1024,16,static,0,4,0.405552,4.328125,5295.21,0.6670
ikj,1024,16,static,0,0,0.044226,0.375000,48556.93,0.5299
ikj,1024,16,static,0,1,0.040972,0.359375,52413.83,0.5482
ikj,1024,16,static,0,2,0.039525,0.453125,54332.56,0.7165
ikj,1024,16,static,0,3,0.040568,0.359375,52935.41,0.5537
ikj,1024,16,static,0,4,0.046390,0.421875,46292.35,0.5684
ijk,1024,6,static,0,0,0.865561,5.062500,2481.03,0.9748
ijk,1024,6,static,0,1,0.851370,4.984375,2522.39,0.9758
ijk,1024,6,static,0,2,0.792218,4.640625,2710.72,0.9763
ijk,1024,6,static,0,3,0.779960,4.500000,2753.33,0.9616
ijk,1024,6,static,0,4,0.790412,4.656250,2716.92,0.9818
ikj,1024,6,static,0,0,0.064033,0.312500,33537.03,0.8134
ikj,1024,6,static,0,1,0.069529,0.359375,30886.07,0.8614
ikj,1024,6,static,0,2,0.062812,0.265625,34189.28,0.7048
ikj,1024,6,static,0,3,0.055905,0.250000,38412.81,0.7453
ikj,1024,6,static,0,4,0.060252,0.343750,35641.64,0.9509
ijk,1024,8,static,0,0,0.606004,4.781250,3543.68,0.9862
ijk,1024,8,static,0,1,0.616116,4.781250,3485.52,0.9700
ijk,1024,8,static,0,2,0.610690,4.687500,3516.49,0.9595
ijk,1024,8,static,0,3,0.604279,4.578125,3553.79,0.9470
ijk,1024,8,static,0,4,0.582311,4.609375,3687.86,0.9895
ikj,1024,8,static,0,0,0.050036,0.375000,42918.51,0.9368
ikj,1024,8,static,0,1,0.050895,0.468750,42194.06,1.1513
ikj,1024,8,static,0,2,0.051170,0.312500,41967.38,0.7634
ikj,1024,8,static,0,3,0.050817,0.375000,42258.91,0.9224
ikj,1024,8,static,0,4,0.051244,0.343750,41906.62,0.8385
ijk,1024,24,static,0,0,0.446135,4.406250,4813.53,0.4115
ijk,1024,24,static,0,1,0.454153,4.625000,4728.55,0.4243
ijk,1024,24,static,0,2,0.437049,4.718750,4913.59,0.4499
ijk,1024,24,static,0,3,0.462616,4.671875,4642.05,0.4208
ijk,1024,24,static,0,4,0.460609,4.718750,4662.27,0.4269
ikj,1024,24,static,0,0,0.043661,0.437500,49185.17,0.4175
ikj,1024,24,static,0,1,0.044274,0.453125,48503.96,0.4264
ikj,1024,24,static,0,2,0.042343,0.375000,50716.62,0.3690
ikj,1024,24,static,0,3,0.042046,0.359375,51074.26,0.3561
ikj,1024,24,static,0,4,0.043671,0.328125,49174.59,0.3131
ijk,1024,4,static,0,0,1.552827,6.062500,1382.95,0.9760
ijk,1024,4,static,0,1,1.372841,5.484375,1564.26,0.9987
ijk,1024,4,static,0,2,1.432767,5.625000,1498.84,0.9815
ijk,1024,4,static,0,3,1.402201,5.484375,1531.51,0.9778
ijk,1024,4,static,0,4,1.398661,5.484375,1535.39,0.9803
ikj,1024,4,static,0,0,0.101471,0.375000,21163.52,0.9239
ikj,1024,4,static,0,1,0.101204,0.375000,21219.25,0.9263
ikj,1024,4,static,0,2,0.104735,0.406250,20504.01,0.9697
ikj,1024,4,static,0,3,0.098603,0.375000,21778.98,0.9508
ikj,1024,4,static,0,4,0.097021,0.375000,22134.12,0.9663
ijk,1024,1,seq,0,0,5.708378,5.703125,376.20,0.9991
ijk,1024,1,seq,0,1,5.675396,5.671875,378.38,0.9994
ijk,1024,1,seq,0,2,5.583428,5.562500,384.62,0.9963
ijk,1024,1,seq,0,3,5.653473,5.640625,379.85,0.9977
ijk,1024,1,seq,0,4,5.659850,5.656250,379.42,0.9994
ikj,1024,1,seq,0,0,0.218146,0.218750,9844.26,1.0028
ikj,1024,1,seq,0,1,0.208932,0.203125,10278.40,0.9722
ikj,1024,1,seq,0,2,0.208907,0.203125,10279.61,0.9723
ikj,1024,1,seq,0,3,0.206999,0.218750,10374.38,1.0568
ikj,1024,1,seq,0,4,0.204537,0.203125,10499.23,0.9931
ijk,1024,1,static,0,0,4.959222,4.921875,433.03,0.9925
ijk,1024,1,static,0,1,4.934801,4.937500,435.17,1.0005
ijk,1024,1,static,0,2,4.921910,4.890625,436.31,0.9936
ijk,1024,1,static,0,3,4.925331,4.937500,436.01,1.0025
ijk,1024,1,static,0,4,4.928537,4.921875,435.72,0.9986
ikj,1024,1,static,0,0,0.244069,0.250000,8798.68,1.0243
ikj,1024,1,static,0,1,0.226712,0.218750,9472.28,0.9649
ikj,1024,1,static,0,2,0.237068,0.234375,9058.50,0.9886
ikj,1024,1,static,0,3,0.214807,0.218750,9997.26,1.0184
ikj,1024,1,static,0,4,0.224295,0.218750,9574.38,0.9753
ijk,1024,3,static,0,0,1.787898,5.218750,1201.12,0.9730
ijk,1024,3,static,0,1,1.746664,4.984375,1229.48,0.9512
ijk,1024,3,static,0,2,1.754162,5.015625,1224.22,0.9531
ijk,1024,3,static,0,3,1.683200,5.000000,1275.83,0.9902
ijk,1024,3,static,0,4,1.764264,5.078125,1217.21,0.9594
